Period,Period Label,Repo,Contributor,Status,First Seen
2026-04-02/2026-05-05,Apr 2026,aiken-lang/aiken,Mavis2103,Returning,Jan 2018
2026-04-02/2026-05-05,Apr 2026,aiken-lang/aiken,waalge,Returning,Jan 2018
2026-04-02/2026-05-05,Apr 2026,aiken-lang/stdlib,Micrograx,Returning,Jan 2018
2026-04-02/2026-05-05,Apr 2026,bloxbean/yaci-devkit,wistkeylab,Returning,Jan 2018
2026-04-02/2026-05-05,Apr 2026,cardano-foundation/CIPs,Quantumplation,Returning,Jan 2018
2026-04-02/2026-05-05,Apr 2026,cardano-foundation/CIPs,Ryun1,Returning,Jan 2018
2026-04-02/2026-05-05,Apr 2026,cardano-foundation/CIPs,SamDelaney,Returning,Jan 2018
2026-04-02/2026-05-05,Apr 2026,cardano-foundation/CIPs,fallen-icarus,Returning,Jan 2018
2026-04-02/2026-05-05,Apr 2026,cardano-foundation/CIPs,paluh,Returning,Jan 2018
2026-04-02/2026-05-05,Apr 2026,cardano-foundation/CIPs,perturbing,Returning,Jan 2018
2026-04-02/2026-05-05,Apr 2026,cardano-foundation/cardano-ambassador-tool,DeltaDeFiProtocol,New,Apr 2026
2026-04-02/2026-05-05,Apr 2026,cardano-foundation/cardano-ambassador-tool,HinsonSIDAN,Returning,Jan 2018
2026-04-02/2026-05-05,Apr 2026,cardano-foundation/cardano-governance-voting-tool,mpizenberg,Returning,Jan 2018
2026-04-02/2026-05-05,Apr 2026,cardano-foundation/cardano-ibc-incubator,amandagonsalves,New,Apr 2026
2026-04-02/2026-05-05,Apr 2026,cardano-foundation/cardano-ignite,karknu,Returning,Jan 2018
2026-04-02/2026-05-05,Apr 2026,cardano-foundation/cardano-org,mattdotare,New,Apr 2026
2026-04-02/2026-05-05,Apr 2026,cardano-foundation/cardano-org,sinkajCF,New,Apr 2026
2026-04-02/2026-05-05,Apr 2026,cardano-foundation/cardano-org,GNP1-dev,Returning,Jan 2018
2026-04-02/2026-05-05,Apr 2026,cardano-foundation/cardano-org,IndividuoDigital,Returning,Jan 2018
2026-04-02/2026-05-05,Apr 2026,cardano-foundation/cardano-org,Mavis2103,Returning,Jan 2018
2026-04-02/2026-05-05,Apr 2026,cardano-foundation/cardano-org,brouwerQ,Returning,Jan 2018
2026-04-02/2026-05-05,Apr 2026,cardano-foundation/cardano-org,lodl,Returning,Jan 2018
2026-04-02/2026-05-05,Apr 2026,cardano-foundation/cardano-org,surf-lending-admin,Returning,Jan 2018
2026-04-02/2026-05-05,Apr 2026,cardano-foundation/cardano-org,tuckpuck,Returning,Jan 2018
2026-04-02/2026-05-05,Apr 2026,cardano-foundation/cardano-rosetta-java,ghost,Returning,Jan 2018
2026-04-02/2026-05-05,Apr 2026,cardano-foundation/cardano-token-registry,catscoinada,New,Apr 2026
2026-04-02/2026-05-05,Apr 2026,cardano-foundation/cardano-token-registry,AdmiralOOM,Returning,Jan 2018
2026-04-02/2026-05-05,Apr 2026,cardano-foundation/cardano-token-registry,arikbd123,Returning,Jan 2018
