Project: .github,Repo: bloxbean/.github,Language: Unknown
Metric,04/05/2026,11/05/2026,18/05/2026,01/06/2026
GitHub Stars,0,0,0,0
GitHub Forks,0,0,0,0
GitHub Contributors,1,1,1,1
GitHub Pull Requests (PRs) Merged,0,0,0,0
Number of Releases,0,0,0,0
Downloads,Github downloads 0,Github downloads 0,Github downloads 0,Github downloads 0

Project: CIP-0094-polls,Repo: cardano-foundation/CIP-0094-polls,Language: JavaScript
Metric,04/05/2026,11/05/2026,18/05/2026,01/06/2026
GitHub Stars,9,9,9,9
GitHub Forks,13,13,13,13
GitHub Contributors,11,11,11,11
GitHub Pull Requests (PRs) Merged,25,25,25,25
Number of Releases,0,0,0,0
Downloads,Github downloads 0,Github downloads 0,Github downloads 0,Github downloads 0

Project: CIPs,Repo: cardano-foundation/CIPs,Language: Unknown
Metric,04/05/2026,11/05/2026,18/05/2026,01/06/2026
GitHub Stars,563,563,563,565
GitHub Forks,387,388,391,391
GitHub Contributors,158,158,158,158
GitHub Pull Requests (PRs) Merged,687,687,695,704
Number of Releases,0,0,0,0
Downloads,Github downloads 0,Github downloads 0,Github downloads 0,Github downloads 0

Project: Governance,Repo: cardano-foundation/Governance,Language: Unknown
Metric,04/05/2026,11/05/2026,18/05/2026,01/06/2026
GitHub Stars,1,1,1,1
GitHub Forks,0,0,0,0
GitHub Contributors,2,2,2,2
GitHub Pull Requests (PRs) Merged,0,0,0,0
Number of Releases,0,0,0,0
Downloads,Github downloads 0,Github downloads 0,Github downloads 0,Github downloads 0

Project: aiken,Repo: aiken-lang/aiken,Language: Rust
Metric,30/06/2025,28/07/2025,28/08/2025,28/09/2025,28/10/2025,28/11/2025,29/12/2025,29/01/2026,01/03/2026,29/03/2026,29/04/2026,04/05/2026,11/05/2026,18/05/2026,01/06/2026
GitHub Stars,541,544,550,556,558,564,570,572,575,578,578,578,578,578,579
GitHub Forks,119,120,124,125,124,128,129,131,132,133,136,137,137,139,140
GitHub Contributors,46,46,47,47,47,47,47,47,47,48,49,49,49,50,51
GitHub Pull Requests (PRs) Merged,530,540,541,541,541,541,568,568,568,581,591,591,591,591,593
Number of Releases,44,45,45,45,45,45,46,46,46,46,46,46,46,47,47
Downloads,Github downloads 35779,Github downloads 37244,Github downloads 38532,Github downloads 40018,Github downloads 41417,Github downloads 43078,Github downloads 43975,Github downloads 45787,Github downloads 48769,Github downloads 50375,Github downloads 54579,Github downloads 55263,Github downloads 57100,Github downloads 58596,Github downloads 62235

